"x";"y";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
19.5;47;0.3332;0.4065;0.4899;0.5388;0.5577;0.5682;0.6114;0.631;0.5901;0.519;0.3478;0.2722
19.6;47;0.3347;0.4053;0.4897;0.5393;0.5567;0.5661;0.6116;0.6299;0.5873;0.5188;0.3483;0.2728
19.7;47;0.3374;0.4074;0.4928;0.5425;0.5584;0.5673;0.6142;0.6311;0.5874;0.5211;0.3517;0.2754
19.8;47;0.3375;0.4078;0.4935;0.5432;0.5594;0.5683;0.6148;0.6318;0.587;0.5229;0.3543;0.2761
19.9;47;0.3363;0.4051;0.4944;0.5399;0.5616;0.5701;0.6145;0.6317;0.5874;0.5256;0.3578;0.276
20;47;0.3348;0.4045;0.4951;0.5371;0.5657;0.5749;0.6165;0.6319;0.5897;0.5301;0.3618;0.2769
20.1;47;0.3351;0.4046;0.4975;0.5389;0.5683;0.5761;0.6183;0.6336;0.5887;0.5325;0.3639;0.2775
20.2;47;0.335;0.4025;0.4961;0.5349;0.5676;0.573;0.6155;0.6326;0.5842;0.5317;0.3646;0.2775
20.3;47;0.3333;0.4022;0.496;0.5354;0.5694;0.5758;0.6184;0.6345;0.5871;0.5319;0.3659;0.2759
20.4;47;0.3327;0.4009;0.4938;0.5347;0.5684;0.5753;0.618;0.634;0.5866;0.5313;0.3661;0.2751
20.5;47;0.3323;0.4005;0.4938;0.5345;0.5693;0.5755;0.6178;0.6349;0.5875;0.5313;0.3663;0.2749
20.6;47;0.3316;0.3991;0.4935;0.533;0.5673;0.5739;0.6157;0.6344;0.5861;0.5299;0.3651;0.2738
20.7;47;0.3322;0.3967;0.4932;0.5337;0.5706;0.5758;0.6162;0.6374;0.5884;0.5313;0.3659;0.2746
20.8;47;0.3317;0.3965;0.4924;0.5332;0.5701;0.5751;0.6152;0.6371;0.5873;0.529;0.3651;0.2735
20.9;47;0.3313;0.3979;0.4909;0.533;0.568;0.5733;0.6137;0.6361;0.5866;0.5279;0.365;0.2734
21;47;0.3307;0.3969;0.4906;0.5324;0.5676;0.5747;0.6121;0.6352;0.5859;0.5264;0.3642;0.2726
19.5;46.9;0.3351;0.4061;0.4925;0.5384;0.5611;0.5694;0.6126;0.6309;0.591;0.5209;0.3508;0.2735
19.6;46.9;0.3379;0.407;0.4935;0.5405;0.5599;0.5676;0.6133;0.6321;0.5893;0.5208;0.3509;0.2742
19.7;46.9;0.3358;0.4055;0.4941;0.5411;0.5628;0.5707;0.6165;0.6344;0.5902;0.524;0.3551;0.2755
19.8;46.9;0.3356;0.405;0.4939;0.539;0.5629;0.5708;0.6163;0.6331;0.5889;0.5243;0.3563;0.2758
19.9;46.9;0.3352;0.4038;0.4936;0.5368;0.5639;0.5713;0.616;0.6326;0.5883;0.5254;0.3581;0.2748
20;46.9;0.3343;0.4041;0.4951;0.5352;0.5671;0.574;0.6171;0.6333;0.5896;0.5291;0.3621;0.2759
20.1;46.9;0.3334;0.4046;0.4961;0.5355;0.5706;0.5774;0.6198;0.6344;0.5912;0.5326;0.3662;0.2764
20.2;46.9;0.3335;0.4029;0.4952;0.533;0.5691;0.5757;0.6188;0.6343;0.5879;0.532;0.3658;0.2761
20.3;46.9;0.3326;0.4022;0.4948;0.5331;0.5696;0.5775;0.6203;0.635;0.5888;0.5322;0.3672;0.2758
20.4;46.9;0.3335;0.4015;0.4934;0.5328;0.5683;0.577;0.6188;0.6338;0.5881;0.5324;0.3674;0.2753
20.5;46.9;0.3327;0.4001;0.4941;0.5333;0.5699;0.5774;0.6183;0.6361;0.5896;0.5331;0.3683;0.2758
20.6;46.9;0.3327;0.3991;0.4939;0.5331;0.5703;0.5768;0.6169;0.6367;0.5896;0.5324;0.368;0.2748
20.7;46.9;0.3319;0.399;0.4927;0.5328;0.5701;0.5758;0.6159;0.6371;0.5895;0.5316;0.3675;0.2739
20.8;46.9;0.3315;0.3983;0.4922;0.5324;0.5706;0.5749;0.6152;0.6372;0.5896;0.5307;0.3668;0.2733
20.9;46.9;0.331;0.3969;0.4905;0.5304;0.5704;0.5743;0.6144;0.6366;0.5889;0.5297;0.366;0.272
21;46.9;0.3302;0.3967;0.488;0.5292;0.5668;0.5728;0.6118;0.6347;0.5862;0.5266;0.3647;0.2717
19.5;46.8;0.3346;0.4045;0.492;0.5354;0.564;0.5688;0.6124;0.6308;0.59;0.5215;0.3528;0.2741
19.6;46.8;0.3358;0.4056;0.4923;0.5381;0.5609;0.5668;0.6133;0.6334;0.5887;0.5204;0.3521;0.2735
19.7;46.8;0.3351;0.4053;0.4932;0.5382;0.5624;0.5684;0.6149;0.6345;0.5898;0.523;0.355;0.2738
19.8;46.8;0.3351;0.4041;0.493;0.5362;0.5637;0.5689;0.6148;0.6334;0.5888;0.5242;0.3571;0.2745
19.9;46.8;0.3335;0.4035;0.4947;0.5317;0.5669;0.572;0.6158;0.6317;0.5902;0.526;0.3599;0.2747
20;46.8;0.3342;0.4043;0.4954;0.5335;0.5685;0.573;0.6176;0.6343;0.5902;0.5294;0.363;0.2755
20.1;46.8;0.3332;0.4038;0.4962;0.5341;0.5722;0.5776;0.6204;0.6372;0.5922;0.5323;0.3665;0.276
20.2;46.8;0.3331;0.4029;0.4953;0.5328;0.5707;0.5777;0.6208;0.6354;0.5907;0.5317;0.3666;0.2758
20.3;46.8;0.3326;0.4029;0.4949;0.533;0.5715;0.5798;0.622;0.6368;0.5922;0.5329;0.369;0.2764
20.4;46.8;0.3325;0.4016;0.4947;0.5325;0.5703;0.5781;0.6201;0.6354;0.5912;0.5326;0.3691;0.275
20.5;46.8;0.3315;0.3995;0.4927;0.5328;0.5723;0.5757;0.6174;0.6368;0.5902;0.5299;0.3697;0.2751
20.6;46.8;0.3315;0.3998;0.4927;0.5332;0.5721;0.5753;0.6163;0.6373;0.5907;0.5303;0.3698;0.2744
20.7;46.8;0.3333;0.4013;0.4936;0.5324;0.5692;0.5752;0.6158;0.6366;0.5911;0.5317;0.3689;0.2747
