"x";"y";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
19.5;47;0.2676;0.286;0.5202;0.4959;0.4355;0.5266;0.6252;0.6024;0.4376;0.4839;0.3499;0.1944
19.6;47;0.2685;0.2791;0.5227;0.4951;0.4363;0.5178;0.6203;0.6035;0.4368;0.4828;0.3518;0.1928
19.7;47;0.2683;0.2745;0.5292;0.4922;0.4424;0.5217;0.6141;0.6092;0.4346;0.4756;0.3565;0.1904
19.8;47;0.2685;0.2738;0.5294;0.4921;0.4428;0.5224;0.6128;0.6102;0.4375;0.4798;0.3594;0.1892
19.9;47;0.2669;0.2754;0.5308;0.49;0.4427;0.5248;0.6145;0.6076;0.4424;0.4865;0.3634;0.1865
20;47;0.2649;0.2757;0.5322;0.4928;0.4438;0.5198;0.6156;0.6014;0.4502;0.4989;0.3676;0.184
20.1;47;0.264;0.2731;0.5325;0.494;0.4473;0.5255;0.6105;0.6048;0.455;0.5015;0.3678;0.1818
20.2;47;0.2613;0.2701;0.5278;0.4873;0.4427;0.5233;0.6003;0.6104;0.4577;0.5037;0.3639;0.179
20.3;47;0.2609;0.2786;0.5329;0.4918;0.4494;0.5307;0.6083;0.6065;0.4677;0.5042;0.3651;0.1776
20.4;47;0.2624;0.2825;0.5269;0.4888;0.4527;0.536;0.6115;0.5978;0.4755;0.5044;0.3629;0.1743
20.5;47;0.2634;0.2877;0.522;0.48;0.4545;0.5414;0.6155;0.5954;0.4797;0.5036;0.3595;0.1715
20.6;47;0.2635;0.292;0.5212;0.4771;0.4537;0.546;0.6174;0.5949;0.4811;0.5017;0.3542;0.1689
20.7;47;0.2623;0.2955;0.5134;0.4658;0.4562;0.5478;0.6184;0.5967;0.4905;0.5001;0.3497;0.1673
20.8;47;0.2616;0.2977;0.5129;0.4626;0.4567;0.548;0.6189;0.5942;0.4901;0.4989;0.3426;0.164
20.9;47;0.2611;0.3087;0.5131;0.4656;0.4602;0.5481;0.6111;0.5839;0.4938;0.4982;0.34;0.1627
21;47;0.2574;0.3119;0.5187;0.4667;0.4608;0.5523;0.5929;0.5702;0.4956;0.4951;0.3335;0.1594
19.5;46.9;0.2684;0.2841;0.5278;0.4936;0.4423;0.5224;0.6279;0.6122;0.4387;0.4865;0.3547;0.1916
19.6;46.9;0.2713;0.2725;0.5285;0.4924;0.4431;0.525;0.6137;0.6138;0.4308;0.4723;0.3547;0.19
19.7;46.9;0.2685;0.2704;0.5294;0.4929;0.4441;0.5339;0.6138;0.6191;0.4354;0.4746;0.3602;0.1897
19.8;46.9;0.268;0.2698;0.529;0.4915;0.4436;0.5319;0.6115;0.6174;0.4371;0.4766;0.3607;0.1887
19.9;46.9;0.2644;0.2747;0.5286;0.4904;0.4445;0.5264;0.613;0.6145;0.4444;0.4834;0.3616;0.1839
20;46.9;0.2615;0.275;0.5292;0.4919;0.4477;0.5242;0.6124;0.6108;0.4494;0.489;0.3643;0.1812
20.1;46.9;0.2588;0.2747;0.53;0.4927;0.4506;0.5271;0.6102;0.6111;0.4561;0.4916;0.3659;0.18
20.2;46.9;0.2583;0.2759;0.5269;0.4909;0.449;0.5313;0.606;0.6174;0.4578;0.4949;0.363;0.1784
20.3;46.9;0.2588;0.2821;0.5282;0.495;0.4518;0.5342;0.611;0.6144;0.4622;0.4965;0.3633;0.1778
20.4;46.9;0.2609;0.2877;0.5203;0.4869;0.4543;0.5389;0.6163;0.6064;0.47;0.5007;0.3612;0.1766
20.5;46.9;0.2634;0.2944;0.5178;0.4723;0.455;0.5413;0.6192;0.6001;0.4801;0.4962;0.3571;0.173
20.6;46.9;0.264;0.2968;0.5155;0.47;0.4558;0.5437;0.621;0.5994;0.4798;0.4949;0.3525;0.17
20.7;46.9;0.2653;0.3001;0.51;0.4645;0.4566;0.5436;0.6216;0.5962;0.4814;0.4936;0.3476;0.1674
20.8;46.9;0.266;0.3031;0.5087;0.4617;0.4579;0.5441;0.6223;0.592;0.4859;0.4915;0.3399;0.1634
20.9;46.9;0.2663;0.3045;0.4913;0.4469;0.4593;0.5361;0.6224;0.5829;0.4894;0.4919;0.3289;0.1588
21;46.9;0.2597;0.3123;0.4985;0.4537;0.4619;0.54;0.6065;0.5748;0.49;0.4869;0.3276;0.1615
19.5;46.8;0.2641;0.2813;0.5316;0.491;0.4396;0.5184;0.6262;0.6166;0.4413;0.4846;0.3558;0.1929
19.6;46.8;0.2616;0.2768;0.5269;0.4921;0.4368;0.5237;0.6041;0.612;0.4379;0.4746;0.354;0.1893
19.7;46.8;0.2596;0.2765;0.5273;0.4925;0.4388;0.5258;0.6033;0.6139;0.4416;0.4751;0.3567;0.1863
19.8;46.8;0.2598;0.2759;0.5266;0.4909;0.4407;0.5262;0.6033;0.6161;0.4414;0.4741;0.3579;0.1854
19.9;46.8;0.2601;0.2773;0.5274;0.4882;0.4486;0.5258;0.6164;0.6178;0.446;0.4806;0.3595;0.1824
20;46.8;0.2575;0.2781;0.5268;0.4924;0.4498;0.5249;0.6126;0.6207;0.4506;0.4805;0.3624;0.1809
20.1;46.8;0.2547;0.2762;0.5271;0.4934;0.4548;0.5332;0.6106;0.6269;0.4564;0.4844;0.3648;0.1784
20.2;46.8;0.2559;0.2805;0.5258;0.4945;0.4531;0.5358;0.6107;0.6235;0.4572;0.4851;0.3618;0.1782
20.3;46.8;0.256;0.2875;0.5255;0.4983;0.4545;0.5369;0.6155;0.6237;0.4611;0.4881;0.3625;0.178
20.4;46.8;0.2559;0.293;0.5229;0.4903;0.456;0.5429;0.6215;0.6184;0.4718;0.4917;0.3612;0.175
20.5;46.8;0.2572;0.2938;0.51;0.4673;0.4588;0.5431;0.6183;0.6069;0.4794;0.4806;0.3552;0.173
20.6;46.8;0.2591;0.2984;0.5054;0.4621;0.4595;0.5438;0.6208;0.6037;0.484;0.483;0.3512;0.1704
20.7;46.8;0.2645;0.3077;0.5116;0.4686;0.4568;0.5446;0.6275;0.5975;0.4767;0.4882;0.3453;0.1663
20.8;46.8;0.2649;0.3128;0.5092;0.466;0.4586;0.549;0.6295;0.5936;0.4764;0.4875;0.3425;0.1654
20.9;46.8;0.2612;0.3149;0.5055;0.4641;0.4619;0.5403;0.6303;0.5902;0.4895;0.485;0.3371;0.1649
21;46.8;0.2601;0.3189;0.5062;0.4644;0.4657;0.5417;0.6322;0.5846;0.4953;0.4822;0.3351;0.1649
19.5;46.7;0.2609;0.2815;0.5284;0.4905;0.4347;0.5215;0.6074;0.6159;0.439;0.4715;0.3536;0.1951
19.6;46.7;0.2585;0.2787;0.5255;0.4912;0.434;0.5236;0.5944;0.6108;0.4386;0.4665;0.3529;0.1915
19.7;46.7;0.2575;0.2789;0.5251;0.4906;0.4373;0.5239;0.5977;0.6148;0.4429;0.4671;0.3541;0.1884
19.8;46.7;0.2567;0.2802;0.5269;0.4905;0.4434;0.5234;0.6042;0.6204;0.4458;0.4667;0.357;0.1847
19.9;46.7;0.2568;0.2854;0.5247;0.4916;0.4518;0.5239;0.6144;0.6285;0.451;0.4719;0.3604;0.1821
20;46.7;0.2564;0.2834;0.5229;0.4939;0.4519;0.5273;0.6128;0.6293;0.4525;0.4708;0.3618;0.1808
20.1;46.7;0.2566;0.2814;0.523;0.4958;0.4535;0.5309;0.6107;0.6248;0.456;0.4718;0.3626;0.1774
20.2;46.7;0.2518;0.2852;0.5239;0.4948;0.4578;0.5338;0.6153;0.6293;0.4621;0.4778;0.3635;0.1763
20.3;46.7;0.2528;0.2915;0.5258;0.4981;0.4568;0.5381;0.6205;0.6292;0.469;0.481;0.3614;0.1758
20.4;46.7;0.252;0.2895;0.5151;0.4679;0.4603;0.5447;0.6165;0.612;0.473;0.4754;0.3578;0.1731
20.5;46.7;0.251;0.3062;0.5071;0.5004;0.4599;0.5441;0.6221;0.6195;0.4757;0.4841;0.353;0.1742
20.6;46.7;0.2505;0.3171;0.5038;0.5033;0.4642;0.5476;0.6259;0.6155;0.483;0.4856;0.3482;0.1762
20.7;46.7;0.2537;0.3174;0.5046;0.4943;0.4621;0.546;0.6287;0.6089;0.4811;0.4817;0.3457;0.1713
20.8;46.7;0.2571;0.3273;0.5202;0.4948;0.4637;0.5531;0.6441;0.6045;0.4852;0.4838;0.3475;0.1725
20.9;46.7;0.2547;0.3319;0.5218;0.4916;0.4657;0.552;0.6439;0.5983;0.4933;0.4793;0.3449;0.1736
21;46.7;0.2535;0.3345;0.5212;0.4903;0.4672;0.548;0.6404;0.5931;0.5008;0.4783;0.3454;0.1727
19.5;46.6;0.2559;0.2838;0.5281;0.4901;0.431;0.5163;0.5956;0.6164;0.4404;0.469;0.3534;0.1953
19.6;46.6;0.2554;0.2827;0.5255;0.4895;0.4288;0.5221;0.592;0.6124;0.4393;0.4637;0.3516;0.1942
19.7;46.6;0.2533;0.2826;0.526;0.4901;0.4378;0.5209;0.5973;0.6207;0.4474;0.4633;0.3554;0.188
19.8;46.6;0.2521;0.2833;0.5235;0.4907;0.4382;0.5213;0.5928;0.6162;0.4483;0.4596;0.3546;0.1854
19.9;46.6;0.2515;0.2834;0.523;0.491;0.441;0.5249;0.5928;0.6204;0.4504;0.4601;0.3568;0.1822
20;46.6;0.2537;0.2867;0.5234;0.498;0.456;0.5278;0.6117;0.6337;0.4587;0.4638;0.364;0.1808
20.1;46.6;0.2524;0.2874;0.5222;0.4979;0.4571;0.5297;0.612;0.6339;0.4614;0.4677;0.364;0.1798
20.2;46.6;0.2542;0.2928;0.5224;0.5023;0.4594;0.5338;0.617;0.6334;0.4674;0.4714;0.3639;0.1762
20.3;46.6;0.2583;0.2968;0.5231;0.5;0.4552;0.5333;0.6188;0.6298;0.4691;0.4682;0.3613;0.1765
20.4;46.6;0.2586;0.304;0.5232;0.5042;0.4543;0.5337;0.6233;0.6277;0.4736;0.4703;0.3606;0.1814
20.5;46.6;0.262;0.3062;0.5104;0.5069;0.4564;0.5279;0.6235;0.6199;0.4764;0.4708;0.3487;0.1747
20.6;46.6;0.252;0.3187;0.5276;0.5113;0.4651;0.548;0.6435;0.6215;0.4862;0.4797;0.3567;0.1776
20.7;46.6;0.253;0.3227;0.5287;0.5089;0.4639;0.5452;0.6494;0.6189;0.489;0.4781;0.3537;0.1746
20.8;46.6;0.2551;0.3278;0.5276;0.5031;0.4655;0.5462;0.6504;0.6095;0.4961;0.4789;0.3547;0.1761
20.9;46.6;0.2552;0.333;0.5301;0.5031;0.4653;0.5438;0.653;0.6055;0.502;0.4779;0.3542;0.1784
21;46.6;0.2537;0.3372;0.5314;0.5023;0.4674;0.5434;0.6531;0.6008;0.5073;0.4757;0.3551;0.1785
19.5;46.5;0.2487;0.2865;0.5293;0.4916;0.4282;0.5127;0.585;0.6132;0.437;0.4643;0.3539;0.1938
19.6;46.5;0.245;0.2878;0.5253;0.4894;0.4265;0.5106;0.5857;0.611;0.4429;0.4606;0.3508;0.1901
19.7;46.5;0.2456;0.2899;0.5217;0.4896;0.4273;0.5161;0.5824;0.6103;0.4475;0.4581;0.3505;0.1886
19.8;46.5;0.2494;0.2896;0.5214;0.4948;0.4419;0.518;0.5979;0.622;0.4581;0.4573;0.3572;0.1856
19.9;46.5;0.2508;0.2879;0.5221;0.498;0.4484;0.5219;0.6;0.6288;0.4647;0.4555;0.3614;0.1852
20;46.5;0.2433;0.2929;0.5198;0.4939;0.4417;0.523;0.5902;0.6194;0.461;0.4589;0.3584;0.1812
20.1;46.5;0.2496;0.2961;0.5222;0.4994;0.4594;0.5281;0.6136;0.6349;0.4696;0.4601;0.3637;0.1789
20.2;46.5;0.2493;0.2989;0.5271;0.4961;0.4619;0.5392;0.6152;0.6378;0.4691;0.4611;0.3656;0.1748
20.3;46.5;0.2515;0.3031;0.5272;0.5062;0.4602;0.5345;0.623;0.6325;0.4778;0.4662;0.3644;0.1781
20.4;46.5;0.261;0.308;0.5285;0.5092;0.456;0.5314;0.6245;0.6281;0.4809;0.4643;0.3624;0.1786
20.5;46.5;0.2612;0.3132;0.5297;0.5137;0.4579;0.5381;0.6322;0.6287;0.4865;0.4697;0.3652;0.1758
20.6;46.5;0.2553;0.3188;0.5352;0.5155;0.463;0.5421;0.6403;0.6252;0.4913;0.474;0.3641;0.1772
20.7;46.5;0.2525;0.3275;0.5367;0.5188;0.4649;0.5448;0.6544;0.6194;0.4966;0.4773;0.3636;0.1774
20.8;46.5;0.2547;0.331;0.5352;0.5139;0.4655;0.5431;0.652;0.6104;0.5047;0.4789;0.3637;0.1818
20.9;46.5;0.2547;0.3334;0.5371;0.5131;0.4639;0.539;0.6546;0.6065;0.5108;0.4771;0.3637;0.183
