"x";"y";"layer"
19.5;47;126
19.6;47;126
19.7;47;123
19.8;47;119
19.9;47;106
20;47;91
20.1;47;84
20.2;47;90
20.3;47;81
20.4;47;81
20.5;47;78
20.6;47;87
20.7;47;78
20.8;47;80
20.9;47;80
21;47;81
19.5;46.9;111
19.6;46.9;124
19.7;46.9;110
19.8;46.9;106
19.9;46.9;103
20;46.9;91
20.1;46.9;78
20.2;46.9;86
20.3;46.9;83
20.4;46.9;84
20.5;46.9;80
20.6;46.9;78
20.7;46.9;79
20.8;46.9;80
20.9;46.9;79
21;46.9;86
19.5;46.8;102
19.6;46.8;113
19.7;46.8;110
19.8;46.8;106
19.9;46.8;91
20;46.8;89
20.1;46.8;77
20.2;46.8;85
20.3;46.8;79
20.4;46.8;79
20.5;46.8;79
20.6;46.8;78
20.7;46.8;82
20.8;46.8;82
20.9;46.8;84
21;46.8;83
19.5;46.7;115
19.6;46.7;113
19.7;46.7;107
19.8;46.7;100
19.9;46.7;87
20;46.7;85
20.1;46.7;82
20.2;46.7;77
20.3;46.7;76
20.4;46.7;78
20.5;46.7;80
20.6;46.7;78
20.7;46.7;80
20.8;46.7;83
20.9;46.7;89
21;46.7;86
19.5;46.6;107
19.6;46.6;119
19.7;46.6;101
19.8;46.6;103
19.9;46.6;102
20;46.6;77
20.1;46.6;82
20.2;46.6;75
20.3;46.6;79
20.4;46.6;79
20.5;46.6;80
20.6;46.6;83
20.7;46.6;85
20.8;46.6;86
20.9;46.6;90
21;46.6;89
19.5;46.5;119
19.6;46.5;116
19.7;46.5;109
19.8;46.5;95
19.9;46.5;87
20;46.5;97
20.1;46.5;77
20.2;46.5;77
20.3;46.5;79
20.4;46.5;77
20.5;46.5;79
20.6;46.5;83
20.7;46.5;87
20.8;46.5;89
20.9;46.5;90
21;46.5;92
19.5;46.4;124
19.6;46.4;127
19.7;46.4;110
19.8;46.4;97
19.9;46.4;98
20;46.4;90
20.1;46.4;80
20.2;46.4;79
20.3;46.4;79
20.4;46.4;79
20.5;46.4;84
20.6;46.4;84
20.7;46.4;87
20.8;46.4;91
20.9;46.4;94
21;46.4;92
19.5;46.3;125
19.6;46.3;135
19.7;46.3;117
19.8;46.3;102
19.9;46.3;95
20;46.3;85
20.1;46.3;76
20.2;46.3;76
20.3;46.3;75
20.4;46.3;74
20.5;46.3;79
20.6;46.3;86
20.7;46.3;88
20.8;46.3;103
20.9;46.3;103
21;46.3;99
19.5;46.2;129
19.6;46.2;125
19.7;46.2;113
19.8;46.2;119
19.9;46.2;88
20;46.2;91
20.1;46.2;73
20.2;46.2;75
20.3;46.2;76
20.4;46.2;76
20.5;46.2;81
20.6;46.2;83
20.7;46.2;86
20.8;46.2;94
20.9;46.2;104
21;46.2;105
19.5;46.1;124
19.6;46.1;116
19.7;46.1;106
19.8;46.1;95
19.9;46.1;85
20;46.1;79
20.1;46.1;72
20.2;46.1;72
20.3;46.1;73
20.4;46.1;78
20.5;46.1;78
20.6;46.1;84
20.7;46.1;83
20.8;46.1;86
20.9;46.1;99
21;46.1;99
19.5;46;103
19.6;46;112
19.7;46;100
19.8;46;105
19.9;46;103
20;46;78
20.1;46;79
20.2;46;77
20.3;46;74
20.4;46;75
20.5;46;76
20.6;46;82
20.7;46;85
20.8;46;88
20.9;46;89
21;46;94
