"x";"y";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
19.5;47;30.66;30.37;30.66;39.03;59.04;68.18;59.13;49.1;46.1;36.76;49.06;45.03
19.6;47;30.17;30.47;30.07;38.53;59.06;68.83;58.55;49.05;46.75;36.15;48.06;44.61
19.7;47;29.34;29.87;29.06;37.46;59.04;68.3;57.58;48.44;46.99;35.37;46.66;43.51
19.8;47;29.11;29.78;28.67;37.03;58.6;67.56;57.15;48.32;47.32;34.68;45.5;43.13
19.9;47;29.24;30.49;28.73;38.41;57.9;66.89;57.69;49.44;47.63;34.15;44.54;43.16
20;47;29.43;30.72;28.99;40.28;57.27;65.42;57.66;51.08;47.66;33.48;43.42;42.93
20.1;47;29.18;30.68;28.38;39.99;56.52;65.16;57;51.46;48.49;32.83;42.5;42.54
20.2;47;29.25;31.23;28.85;41.44;56.61;66.34;58.47;52.33;50.53;32.86;42.25;42.63
20.3;47;29.82;31.38;29.19;41.9;56.45;64.76;57.13;51.95;49.21;33.06;42.02;43.45
20.4;47;30.03;31.63;30.14;42.19;56.9;64.8;57.12;52.94;49.17;33.23;42.01;43.96
20.5;47;30.3;31.82;30.43;42.63;56.77;64.79;57.83;53.3;48.89;33.41;42.24;44.42
20.6;47;30.79;32.25;30.19;42.92;57.13;65.21;58.4;52.96;49;33.61;42.83;45.14
20.7;47;30.58;33.24;30.77;43.34;56.15;65.11;59.54;52.81;48.35;33.34;43.05;44.9
20.8;47;30.95;33.22;30.9;43.44;55.98;65.52;60.19;52.78;48.61;34.13;43.62;45.51
20.9;47;30.94;32.32;31.34;43;56.35;66.19;60.38;52.33;48.55;34.39;43.03;45.42
21;47;31.1;32.52;31.2;42.62;55.95;64.47;60.69;52.24;48.52;34.61;43.12;45.69
19.5;46.9;30.35;30.67;30.22;39.51;58.4;68.17;59.49;49.47;46.43;36.71;48.77;45.18
19.6;46.9;29.63;30.28;29.2;38.34;58.53;68.4;58.09;47.85;46.44;35.92;48.21;44.92
19.7;46.9;30.16;30.93;29.39;38.42;57.92;67.57;56.99;47.67;46.94;35.23;46.57;44.19
19.8;46.9;29.98;30.78;29.15;38.76;57.47;66.85;56.31;48.16;47.04;34.68;45.33;43.73
19.9;46.9;29.95;31.06;29.17;39.71;56.97;66.59;56.81;49.3;47.3;34.52;44.9;44.27
20;46.9;30.18;31.17;29.14;41.17;56.46;66.28;57.38;50.93;47.71;33.86;43.84;44.07
20.1;46.9;30.47;31.1;29.33;41.62;55.76;65.18;56.86;51.78;47.74;33.23;42.53;43.91
20.2;46.9;30.48;31.52;29.56;42.38;56.07;65.27;56.84;51.31;48.93;33.2;42.59;44.19
20.3;46.9;31.04;31.82;29.98;42.6;56.25;64.13;55.86;51.57;48.6;33.29;42.32;44.66
20.4;46.9;30.61;31.85;30.42;42.69;56.78;64.29;56.52;52.78;48.69;33.16;42.3;44.94
