"x";"y";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
19.5;47;-0.43;1.3;6.16;11.48;16.62;19.56;21.71;21.25;16.74;11.52;5.31;0.63
19.6;47;-0.5;1.09;5.98;11.42;16.51;19.5;21.64;21.18;16.61;11.34;5.12;0.46
19.7;47;-0.52;1.06;5.97;11.44;16.54;19.54;21.67;21.22;16.63;11.36;5.12;0.44
19.8;47;-0.6;1.1;5.95;11.42;16.58;19.55;21.7;21.25;16.67;11.37;5.12;0.42
19.9;47;-0.58;1.12;6.11;11.51;16.71;19.66;21.79;21.41;16.79;11.51;5.28;0.54
20;47;-0.51;1.27;6.29;11.73;16.98;19.93;22.05;21.56;17.04;11.74;5.46;0.69
20.1;47;-0.51;1.32;6.36;11.86;17.09;20.02;22.14;21.74;17.1;11.81;5.48;0.71
20.2;47;-0.68;1.16;6.27;11.76;16.95;19.83;21.97;21.66;16.98;11.69;5.41;0.58
20.3;47;-0.65;1.18;6.35;11.92;17.15;19.97;22.14;21.83;17.13;11.8;5.48;0.61
20.4;47;-0.69;1.13;6.31;11.9;17.14;19.98;22.13;21.83;17.13;11.79;5.46;0.58
20.5;47;-0.72;1.09;6.3;11.92;17.18;20.01;22.17;21.87;17.17;11.8;5.45;0.58
20.6;47;-0.8;1;6.19;11.8;17.05;19.91;22.03;21.76;17.06;11.71;5.38;0.52
20.7;47;-0.77;1.02;6.25;11.88;17.17;20.06;22.16;21.87;17.17;11.78;5.46;0.58
20.8;47;-0.84;0.93;6.18;11.83;17.09;20;22.1;21.79;17.11;11.7;5.42;0.52
20.9;47;-0.82;0.92;6.17;11.81;17.08;19.99;22.09;21.77;17.08;11.69;5.42;0.54
21;47;-0.84;0.89;6.09;11.75;17.02;19.93;22.03;21.71;17.02;11.63;5.39;0.51
19.5;46.9;-0.38;1.41;6.31;11.6;16.77;19.7;21.85;21.38;16.88;11.67;5.45;0.76
19.6;46.9;-0.49;1.16;6.03;11.45;16.6;19.55;21.66;21.22;16.68;11.45;5.26;0.57
19.7;46.9;-0.41;1.31;6.2;11.6;16.78;19.74;21.91;21.45;16.89;11.6;5.36;0.66
19.8;46.9;-0.48;1.2;6.14;11.55;16.73;19.68;21.83;21.4;16.83;11.52;5.23;0.55
19.9;46.9;-0.51;1.18;6.14;11.59;16.78;19.74;21.88;21.46;16.87;11.57;5.3;0.57
20;46.9;-0.45;1.28;6.26;11.76;16.97;19.93;22.07;21.66;17.05;11.74;5.46;0.7
20.1;46.9;-0.51;1.3;6.37;11.87;17.13;20.08;22.22;21.8;17.19;11.86;5.56;0.72
20.2;46.9;-0.6;1.19;6.29;11.8;17.02;19.94;22.08;21.73;17.08;11.77;5.48;0.65
20.3;46.9;-0.64;1.15;6.29;11.82;17.05;19.97;22.1;21.76;17.1;11.78;5.48;0.62
20.4;46.9;-0.7;1.09;6.23;11.8;17.07;19.98;22.08;21.77;17.1;11.77;5.46;0.59
20.5;46.9;-0.67;1.09;6.25;11.88;17.15;20.06;22.15;21.83;17.14;11.83;5.49;0.64
20.6;46.9;-0.7;1.01;6.23;11.87;17.15;20.07;22.16;21.83;17.14;11.8;5.49;0.62
20.7;46.9;-0.76;1.02;6.2;11.84;17.12;20.04;22.13;21.83;17.16;11.76;5.47;0.59
20.8;46.9;-0.77;0.97;6.22;11.83;17.11;20.03;22.14;21.83;17.15;11.75;5.46;0.6
20.9;46.9;-0.79;0.97;6.19;11.81;17.08;19.99;22.09;21.77;17.1;11.71;5.46;0.63
21;46.9;-0.87;0.87;6.06;11.69;16.98;19.87;21.98;21.68;17;11.63;5.38;0.55
19.5;46.8;-0.34;1.43;6.29;11.68;16.85;19.8;21.95;21.49;16.97;11.73;5.51;0.85
19.6;46.8;-0.46;1.27;6.17;11.5;16.66;19.62;21.76;21.31;16.78;11.55;5.3;0.65
19.7;46.8;-0.44;1.31;6.21;11.61;16.75;19.73;21.88;21.43;16.91;11.66;5.41;0.71
19.8;46.8;-0.52;1.27;6.2;11.6;16.79;19.75;21.89;21.43;16.91;11.65;5.38;0.69
19.9;46.8;-0.53;1.24;6.22;11.66;16.87;19.84;21.97;21.55;16.97;11.68;5.38;0.65
20;46.8;-0.51;1.26;6.23;11.73;16.95;19.91;22.05;21.65;17.05;11.77;5.47;0.71
20.1;46.8;-0.52;1.29;6.35;11.89;17.15;20.11;22.25;21.87;17.21;11.89;5.59;0.72
20.2;46.8;-0.6;1.2;6.28;11.82;17.04;20.01;22.13;21.76;17.13;11.81;5.49;0.65
20.3;46.8;-0.6;1.18;6.29;11.85;17.07;20.05;22.16;21.82;17.18;11.84;5.55;0.67
20.4;46.8;-0.61;1.16;6.29;11.87;17.12;20.07;22.19;21.85;17.21;11.86;5.55;0.69
20.5;46.8;-0.67;1.09;6.24;11.86;17.14;20.07;22.17;21.82;17.17;11.83;5.53;0.66
20.6;46.8;-0.69;1.08;6.26;11.88;17.15;20.09;22.2;21.86;17.19;11.82;5.53;0.65
20.7;46.8;-0.74;1.02;6.22;11.83;17.11;20.04;22.15;21.83;17.16;11.79;5.49;0.62
20.8;46.8;-0.73;0.98;6.21;11.83;17.11;20.04;22.15;21.82;17.16;11.79;5.49;0.64
20.9;46.8;-0.75;0.94;6.15;11.76;17.03;19.95;22.09;21.77;17.12;11.77;5.5;0.62
21;46.8;-0.72;0.99;6.16;11.78;17.05;19.99;22.11;21.8;17.15;11.81;5.52;0.69
19.5;46.7;-0.35;1.39;6.26;11.6;16.75;19.69;21.84;21.38;16.88;11.72;5.5;0.83
19.6;46.7;-0.47;1.29;6.18;11.49;16.67;19.62;21.75;21.31;16.8;11.59;5.4;0.73
19.7;46.7;-0.48;1.27;6.17;11.53;16.71;19.67;21.79;21.37;16.85;11.61;5.39;0.67
19.8;46.7;-0.5;1.26;6.2;11.6;16.79;19.76;21.87;21.46;16.93;11.67;5.44;0.7
19.9;46.7;-0.45;1.3;6.25;11.73;16.93;19.89;22.02;21.62;17.06;11.79;5.52;0.78
20;46.7;-0.58;1.18;6.21;11.7;16.92;19.9;22.03;21.63;17.05;11.74;5.46;0.66
20.1;46.7;-0.57;1.17;6.22;11.73;16.97;19.95;22.09;21.69;17.1;11.79;5.5;0.68
20.2;46.7;-0.53;1.24;6.29;11.89;17.09;20.08;22.19;21.8;17.2;11.9;5.58;0.75
20.3;46.7;-0.57;1.18;6.3;11.84;17.07;20.04;22.16;21.83;17.21;11.88;5.59;0.71
20.4;46.7;-0.59;1.16;6.27;11.85;17.07;20.03;22.15;21.82;17.21;11.88;5.58;0.72
20.5;46.7;-0.63;1.12;6.25;11.85;17.08;20.03;22.15;21.83;17.21;11.88;5.58;0.71
20.6;46.7;-0.63;1.1;6.28;11.88;17.14;20.08;22.19;21.87;17.21;11.87;5.59;0.72
20.7;46.7;-0.67;1.07;6.23;11.87;17.13;20.06;22.17;21.86;17.2;11.86;5.56;0.71
20.8;46.7;-0.71;1.01;6.21;11.83;17.1;20.03;22.14;21.83;17.2;11.81;5.51;0.68
20.9;46.7;-0.78;0.93;6.11;11.71;16.99;19.92;22.03;21.74;17.11;11.73;5.45;0.62
21;46.7;-0.75;0.96;6.08;11.7;16.95;19.87;22.01;21.72;17.08;11.74;5.48;0.67
19.5;46.6;-0.44;1.32;6.22;11.53;16.7;19.66;21.77;21.33;16.85;11.63;5.49;0.8
19.6;46.6;-0.49;1.32;6.09;11.45;16.6;19.55;21.67;21.25;16.75;11.57;5.37;0.75
19.7;46.6;-0.44;1.32;6.21;11.6;16.78;19.74;21.85;21.44;16.93;11.7;5.47;0.77
19.8;46.6;-0.54;1.24;6.14;11.54;16.71;19.68;21.79;21.4;16.87;11.64;5.4;0.69
19.9;46.6;-0.57;1.19;6.16;11.6;16.77;19.74;21.85;21.47;16.95;11.7;5.43;0.68
20;46.6;-0.44;1.26;6.29;11.78;17.02;20;22.14;21.72;17.17;11.88;5.61;0.8
20.1;46.6;-0.51;1.3;6.3;11.85;17.05;20.01;22.15;21.8;17.19;11.93;5.61;0.78
20.2;46.6;-0.51;1.22;6.26;11.91;17.12;20.09;22.19;21.8;17.23;11.95;5.62;0.75
20.3;46.6;-0.57;1.18;6.26;11.81;17.01;19.98;22.1;21.78;17.19;11.87;5.59;0.72
20.4;46.6;-0.58;1.15;6.25;11.82;17.03;19.98;22.11;21.8;17.2;11.87;5.58;0.72
20.5;46.6;-0.6;1.12;6.24;11.81;17.03;19.98;22.1;21.79;17.19;11.86;5.57;0.73
20.6;46.6;-0.69;1.05;6.19;11.78;17.03;19.96;22.08;21.78;17.17;11.79;5.5;0.66
20.7;46.6;-0.7;1.01;6.17;11.77;17.03;19.95;22.07;21.77;17.18;11.8;5.49;0.66
20.8;46.6;-0.73;0.98;6.16;11.75;17.01;19.93;22.05;21.76;17.16;11.77;5.5;0.66
