"x";"y";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
19.5;47;-1.81;1;6.92;11.73;16.35;19.7;23.05;21.05;15.05;8.69;8.5;-1.22
19.6;47;-1.88;0.78;6.75;11.68;16.24;19.63;22.98;20.99;14.95;8.54;8.32;-1.41
19.7;47;-1.86;0.79;6.75;11.71;16.26;19.68;23.01;21.06;15;8.55;8.33;-1.4
19.8;47;-1.9;0.88;6.74;11.67;16.31;19.69;23.04;21.14;15.08;8.57;8.34;-1.38
19.9;47;-1.81;0.96;6.9;11.76;16.46;19.82;23.13;21.33;15.26;8.69;8.53;-1.18
20;47;-1.67;1.1;7.07;12;16.74;20.09;23.41;21.51;15.6;8.92;8.76;-1
20.1;47;-1.52;1.19;7.15;12.15;16.93;20.21;23.57;21.77;15.75;9.03;8.87;-0.89
20.2;47;-1.65;1.07;7.04;12.04;16.82;20.03;23.34;21.74;15.65;8.91;8.78;-0.97
20.3;47;-1.57;1.26;7.17;12.15;16.96;20.15;23.51;21.95;15.78;8.97;8.89;-0.89
20.4;47;-1.53;1.29;7.16;12.15;16.95;20.17;23.51;21.98;15.8;8.97;8.89;-0.86
20.5;47;-1.47;1.38;7.18;12.18;16.99;20.21;23.56;22.05;15.87;9;8.91;-0.8
20.6;47;-1.49;1.33;7.07;12.08;16.88;20.13;23.45;21.96;15.79;8.95;8.85;-0.84
20.7;47;-1.37;1.51;7.17;12.19;17;20.29;23.57;22.11;15.92;9.03;8.95;-0.7
20.8;47;-1.4;1.52;7.1;12.14;16.96;20.25;23.51;22.05;15.89;8.98;8.94;-0.72
20.9;47;-1.33;1.62;7.08;12.14;16.96;20.25;23.5;22.07;15.89;8.99;8.95;-0.68
21;47;-1.29;1.66;6.99;12.1;16.9;20.21;23.44;22.05;15.86;8.96;8.93;-0.71
19.5;46.9;-1.69;1.18;7.07;11.93;16.56;19.85;23.21;21.25;15.24;8.85;8.65;-0.97
19.6;46.9;-1.83;0.91;6.82;11.78;16.39;19.69;23;21.07;15.07;8.65;8.49;-1.22
19.7;46.9;-1.77;1.12;6.98;11.92;16.62;19.86;23.25;21.36;15.32;8.78;8.5;-1.11
19.8;46.9;-1.78;1.04;6.93;11.86;16.56;19.82;23.16;21.34;15.3;8.69;8.4;-1.17
19.9;46.9;-1.68;1.08;6.95;11.89;16.57;19.9;23.23;21.42;15.39;8.74;8.56;-1.06
20;46.9;-1.57;1.21;7.08;12.08;16.78;20.14;23.44;21.7;15.64;8.91;8.77;-0.87
20.1;46.9;-1.59;1.25;7.17;12.19;16.95;20.26;23.54;21.88;15.88;9.01;8.9;-0.82
20.2;46.9;-1.58;1.18;7.08;12.13;16.91;20.14;23.46;21.85;15.78;8.99;8.87;-0.82
20.3;46.9;-1.55;1.21;7.1;12.16;16.95;20.17;23.49;21.92;15.82;9;8.9;-0.78
