"";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
"1981";"0.3561";"0.423";"0.4608";"0.5428";"0.4793";"0.5299";"0.5929";"0.652";"0.4408";"0.4666";"0.2823";"0.1678"
"1982";"0.1615";"0.3874";"0.4208";"0.4329";"0.5752";"0.5995";"0.5515";"0.5633";"0.6362";"0.3757";"0.3913";"0.1273"
"1983";"0.208";"0.3365";"0.4382";"0.4993";"0.6058";"0.4587";"0.643";"0.5948";"0.5984";"0.5516";"0.4113";"0.2331"
"1984";"0.1618";"0.1913";"0.361";"0.4029";"0.4218";"0.5812";"0.5724";"0.6218";"0.5494";"0.4569";"0.3571";"0.25"
"1985";"0.2194";"0.2981";"0.345";"0.4507";"0.5311";"0.4755";"0.6966";"0.6775";"0.6884";"0.5166";"0.2903";"0.3257"
"1986";"0.353";"0.2407";"0.2849";"0.5475";"0.5964";"0.5888";"0.5542";"0.7501";"0.6898";"0.5792";"0.4707";"0.1431"
"1987";"0.2117";"0.3352";"0.3481";"0.4781";"0.3975";"0.5538";"0.7521";"0.6255";"0.6622";"0.5306";"0.2219";"0.2663"
"1988";"0.2013";"0.2905";"0.3332";"0.4295";"0.4823";"0.5502";"0.7271";"0.6661";"0.4872";"0.5548";"0.3717";"0.3287"
"1989";"0.1434";"0.2279";"0.4662";"0.3822";"0.4454";"0.4302";"0.6416";"0.4965";"0.481";"0.5683";"0.3776";"0.284"
"1990";"0.247";"0.6073";"0.5398";"0.4661";"0.5777";"0.536";"0.688";"0.7419";"0.5";"0.5907";"0.1557";"0.2121"
"1991";"0.3299";"0.3564";"0.2885";"0.507";"0.3452";"0.6194";"0.5279";"0.5935";"0.6242";"0.468";"0.2879";"0.2863"
"1992";"0.2276";"0.449";"0.4633";"0.5137";"0.5925";"0.4738";"0.6648";"0.7814";"0.679";"0.3284";"0.3767";"0.1423"
"1993";"0.3334";"0.3523";"0.3335";"0.4961";"0.6392";"0.6241";"0.6362";"0.6653";"0.523";"0.4484";"0.2081";"0.196"
"1994";"0.2417";"0.2686";"0.534";"0.4469";"0.5335";"0.5927";"0.6566";"0.6641";"0.6282";"0.4417";"0.3232";"0.3003"
"1995";"0.2066";"0.4768";"0.3388";"0.4775";"0.4741";"0.5102";"0.7377";"0.5922";"0.4874";"0.5998";"0.1947";"0.1239"
"1996";"0.1549";"0.3244";"0.3599";"0.4498";"0.5373";"0.6143";"0.6232";"0.5438";"0.2861";"0.4589";"0.3895";"0.1375"
"1997";"0.1329";"0.4266";"0.6045";"0.4846";"0.5901";"0.6002";"0.5146";"0.5923";"0.7173";"0.5293";"0.2836";"0.1709"
"1998";"0.2501";"0.5955";"0.543";"0.386";"0.5155";"0.5772";"0.6208";"0.6843";"0.4703";"0.4254";"0.237";"0.2858"
"1999";"0.2417";"0.3764";"0.4768";"0.4968";"0.5497";"0.4911";"0.6141";"0.644";"0.6195";"0.4697";"0.2481";"0.26"
"2000";"0.2277";"0.5353";"0.3989";"0.5738";"0.7151";"0.7902";"0.6149";"0.7691";"0.5175";"0.4719";"0.4344";"0.2852"
"2001";"0.265";"0.4183";"0.3685";"0.5007";"0.6577";"0.4934";"0.5725";"0.729";"0.3857";"0.5143";"0.3252";"0.2138"
"2002";"0.2803";"0.3461";"0.549";"0.515";"0.5234";"0.614";"0.6122";"0.5294";"0.4141";"0.4268";"0.3154";"0.1595"
"2003";"0.2111";"0.3982";"0.5533";"0.5362";"0.6688";"0.7103";"0.6143";"0.7631";"0.5856";"0.4003";"0.3944";"0.3878"
"2004";"0.2357";"0.3716";"0.3398";"0.4256";"0.5719";"0.5748";"0.6062";"0.7523";"0.5552";"0.4125";"0.3763";"0.2141"
"2005";"0.3392";"0.2642";"0.5269";"0.4804";"0.5956";"0.643";"0.6034";"0.4488";"0.5336";"0.5631";"0.3338";"0.2358"
"2006";"0.2335";"0.2518";"0.3311";"0.4733";"0.5057";"0.5621";"0.7171";"0.4799";"0.6518";"0.6717";"0.4211";"0.2652"
"2007";"0.3296";"0.3109";"0.4959";"0.7863";"0.5636";"0.6522";"0.7246";"0.6629";"0.5328";"0.373";"0.3643";"0.1471"
"2008";"0.3122";"0.4462";"0.359";"0.4614";"0.6428";"0.5873";"0.6469";"0.7707";"0.4278";"0.5321";"0.4396";"0.2238"
"2009";"0.1468";"0.2804";"0.3864";"0.6844";"0.6291";"0.545";"0.7614";"0.7048";"0.6473";"0.3611";"0.3142";"0.1552"
"2010";"0.173";"0.1967";"0.4298";"0.5477";"0.3923";"0.5074";"0.6344";"0.7016";"0.4364";"0.4863";"0.4451";"0.159"
