"";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
"1981";"-3.57";"1.01";"8.86";"10.57";"16";"20.55";"20.37";"20.47";"17.88";"13.17";"4.67";"0.17"
"1982";"-3.71";"-0.94";"5.73";"8.33";"17.39";"20.18";"21.3";"21.22";"20.3";"13.33";"5.57";"3.74"
"1983";"3.48";"0.42";"7.72";"13.83";"18.1";"19.33";"22.99";"21.4";"17.26";"11.1";"2.09";"0.18"
"1984";"0.25";"1.04";"5.39";"11";"16.1";"17.93";"19.25";"20.35";"18.06";"13.18";"5.96";"-0.74"
"1985";"-7.22";"-5.72";"4.97";"11.68";"17.55";"17";"21.17";"21.44";"16.65";"10.7";"4.72";"4.95"
"1986";"0.46";"-2.73";"4.32";"13.86";"18.41";"19.31";"20.32";"22.09";"17.17";"10.92";"5.41";"-1.12"
"1987";"-4.88";"0.46";"0.74";"11.11";"14.72";"19.89";"23.13";"18.95";"19.57";"12.26";"6.31";"1.83"
"1988";"3.15";"3.43";"5.56";"10.71";"16.46";"18.87";"23.08";"21.86";"17.27";"10.81";"-0.4";"1.85"
"1989";"-0.75";"4.71";"9.13";"14.15";"15.8";"18.13";"21.77";"21.13";"17";"11.9";"4.87";"1.73"
"1990";"0.52";"5.85";"9.65";"11.37";"17.15";"19.41";"21.04";"21.5";"15.34";"12.08";"6.54";"1.05"
"1991";"0.38";"-2.8";"7.9";"9.85";"13.2";"19.6";"22.68";"20.71";"17.68";"10.75";"6.34";"-2.36"
"1992";"0.25";"3.06";"6.67";"12.5";"16.72";"20.42";"22.17";"25.78";"17.44";"11.24";"6.62";"0.13"
"1993";"-0.55";"-2.26";"4.21";"11.19";"18.89";"20.48";"21.36";"22.23";"16.95";"13.45";"2.12";"2.76"
"1994";"2.68";"2.16";"8.69";"11.92";"16.71";"20.08";"24.11";"23.14";"20.84";"10.52";"6.43";"1.46"
"1995";"-0.98";"6.27";"5.98";"11.19";"15.96";"19.39";"23.89";"21.39";"16.15";"12.65";"2.72";"0.59"
"1996";"-1.34";"-3.09";"2.25";"12.01";"18.34";"20.6";"20.06";"21.02";"13.76";"11.94";"8.54";"-0.47"
"1997";"-2";"2.4";"5.46";"8.09";"17.02";"20.02";"20.61";"21.07";"16.72";"8.95";"6.88";"2.68"
"1998";"3";"5.22";"3.99";"12.71";"15.81";"21.41";"22";"21.89";"16.34";"12.92";"3.7";"-4.2"
"1999";"0.13";"0.61";"7.57";"12.95";"16.34";"20.3";"22.59";"21.28";"19.5";"11.94";"3.6";"1.06"
"2000";"-1.46";"3.95";"6.32";"14.69";"18.51";"21.46";"21.47";"23.74";"17.2";"14.68";"10.59";"3.07"
"2001";"2.06";"3.74";"9.46";"11.05";"17.95";"18.58";"22.24";"23.12";"15.71";"14.52";"3.49";"-4.72"
"2002";"-0.02";"6.05";"8.47";"11.72";"19.28";"21.61";"23.78";"22.12";"16.66";"11.88";"8.94";"-0.19"
"2003";"-3.47";"-5.85";"4.97";"10.72";"20.5";"23.35";"22.84";"24.42";"17.05";"9.66";"7.9";"1.74"
"2004";"-1.88";"2.04";"6.26";"12.2";"15.19";"19.62";"21.87";"21.49";"16.38";"13.43";"6.33";"2.19"
"2005";"-0.05";"-3.8";"3.71";"11.91";"16.81";"19.25";"21.94";"20.41";"18.18";"12.31";"4.87";"1.53"
"2006";"-1.58";"-0.03";"4.84";"13.14";"16.3";"19.63";"23.69";"20.11";"18.42";"13.75";"7.5";"2.51"
"2007";"5.25";"5.33";"8.88";"12.57";"18.17";"22.28";"23.72";"23.5";"15.19";"11.05";"4.37";"-0.63"
"2008";"1.11";"4.46";"7.61";"12.14";"17.46";"21.65";"21.89";"22.7";"16.34";"13.52";"7.8";"3.24"
"2009";"-1.17";"2.01";"6.97";"14.84";"17.95";"19.96";"23.18";"23.23";"19.94";"12.12";"8.17";"2.68"
"2010";"-1.13";"1.7";"7.13";"12.38";"17.12";"20.29";"23.48";"22.13";"16.19";"9.28";"9.36";"-0.22"
