Variable;Value;Name;Unit;Reference
A;107;empirical constant for the net long-wave radiation flux;deg C ;Monteith and Unsworth (1990)
b;0.2;empirical constant for the net long-wave radiation flux;unitless ;Linacre (1968)
bet_sw;0.17;shortwave albedo;unitless ;Federer (1968)
bet_vis;0.03;visible light albedo;unitless ;Sellers (1985)
c;0.25;cloudy transmittivity;unitless ;Linacre (1968)
d;0.5;angular coefficient of transmittivity;unitless ;Linacre (1968)
fFEC;2.04;flux-to-energy conversion factor;umol J-1 ;Meek et al. (1984)
g;9.80665;standard gravity;m s-2 ;Allen (1973)
Gsc;1360.8;solar constant;W m-2 ;Kopp and Lean (2011)
L;0.0065;mean adiabatic lapse rate;K m-1 ;Allen (1973)
M_a;0.028963;molecular weight of dry air;kg mol-1 ;Tsilingiris (2008)
M_v;0.01802;molecular weight of water vapor;kg mol-1 ;Tsilingiris (2008)
ome;0.26;entrainment factor;unitless ;Priestley and Taylor (1972)
P_0;101325;standard sea-level pressure;Pa ;Allen (1973)
R;8.31447;universal gas constant;J mol-1 K-1 ;Moldover et al. (1988)
S_c;1.05;supply rate constant;mm hr-1 ;Federer (1982)
T_0;288.15;base temperature;K ;Berberan-Santos et al. (1997)
