;temp;prec;bsdf;lat;elv;year;MSMC;TEMP;PREC;BSDF
abt;1;0;0;0;0;0;0;0;0;0
tap;0;1;0;0;0;0;0;0;0;0
per;1;1;0;0;0;0;0;0;0;0
fai;1;1;0;0;0;0;0;0;0;0
gdd5;1;0;0;0;0;1;0;1;0;0
bdi;1;1;1;1;1;1;0;1;0;1
cci;1;0;0;1;0;0;0;0;0;0
tc;1;0;0;0;0;0;0;0;0;0
gdd0;1;0;0;0;0;1;0;1;0;0
tw;1;0;0;0;0;0;0;0;0;0
ptc;1;1;1;1;1;1;1;1;1;1
mat;1;0;0;0;0;0;0;0;0;0
tm10;1;0;0;0;0;0;0;0;0;0
pdry;0;1;0;0;0;0;0;0;0;0
psdry;1;1;0;0;0;0;0;0;0;0
pwdry;1;1;0;0;0;0;0;0;0;0
pswet;1;1;0;0;0;0;0;0;0;0
pwwet;1;1;0;0;0;0;0;0;0;0
ps;1;1;0;0;0;0;0;0;0;0
pw;1;1;0;0;0;0;0;0;0;0
