;lgth;lwst_val;hgst_val;rng_wrd
lat;1;-90;90;values from the interval [-90, 90]
lon;1;-180;180;values from the interval [-180, 180]
elv;1;0;Inf;non-negative values
year;1;-2999950;3000050;values from the interval [-2999950, 3000050]
n;1;1;366;values from the interval [1, 366]
S_f;1;0;1;values from the interval [0, 1]
T_a;1;-273.15;Inf;numeric values larger than -273.15
S_w;1;0;Inf;non-negative values
P_atm;1;0;Inf;non-negative values
P_n;1;0;Inf;non-negative values
W_n;1;0;Inf;non-negative values
W_max;1;0;Inf;non-negative values
MSMC;1;0;Inf;non-negative values
temp;12;-273.15;Inf;numeric values larger than -273.15
prec;12;0;Inf;non-negative values
bsdf;12;0;1;values from the interval [0, 1]
pint;12;0;Inf;non-negative values
TEMP;365;-273.15;Inf;numeric values larger than -273.15
PREC;365;0;Inf;non-negative values
BSDF;365;0;1;values from the interval [0, 1]
